lead_time,avg_price_per_room,no_of_special_requests,arrival_month,Unnamed: 0,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,booking_status
24,71.69,1,9,705,11,4,0,2,3,1
5,66.0,0,2,2146,28,2,0,2,0,1
6,88.0,0,12,28323,1,4,1,0,3,1
57,135.9,1,8,1066,10,4,2,0,0,1
14,0.0,0,9,3570,17,4,2,0,1,1
12,75.2,0,12,4216,14,4,1,0,0,1
5,73.15,0,11,30827,15,4,0,1,3,1
99,81.0,0,2,31915,19,2,1,0,0,1
97,109.81,1,4,27093,30,4,5,2,0,1
56,85.85,1,3,20702,28,4,5,1,0,0
60,123.3,1,9,4241,3,4,1,1,0,0
8,85.35,1,10,9038,29,4,1,2,3,1
198,159.3,1,9,35500,22,4,3,0,0,0
163,72.25,1,8,4169,21,3,6,4,1,1
19,117.81,1,9,9480,23,4,2,1,0,1
20,80.0,0,11,25578,14,3,2,1,0,1
3,98.8,0,9,616,7,3,1,1,0,1
1,51.5,0,2,15770,7,3,1,2,0,1
30,79.6,1,1,24459,31,4,0,2,0,1
118,110.0,0,6,16817,6,3,1,1,0,1
386,115.0,1,10,5382,23,4,0,2,1,0
186,102.6,2,9,5467,30,4,2,2,3,0
304,89.0,0,11,4528,3,4,3,0,0,0
2,55.0,0,3,9154,2,3,1,0,0,1
12,75.0,0,10,1972,5,3,2,1,0,1
9,201.0,3,8,24452,1,4,0,1,0,1
183,187.5,0,8,30766,16,4,5,0,1,0
79,37.33,1,7,1523,7,1,3,0,0,1
256,100.75,0,10,13910,16,4,3,2,0,0
97,96.3,1,4,28342,8,4,2,0,0,1
175,112.63,0,8,34616,31,4,4,0,0,0
69,57.52,1,10,16477,28,4,1,0,3,1
10,95.0,1,9,28654,1,3,1,0,0,1
0,62.8,0,12,16822,24,3,3,2,0,1
122,86.0,0,3,12657,27,3,1,2,1,1
11,95.48,1,3,28496,16,4,3,0,0,1
67,125.1,1,8,6496,13,4,1,0,3,1
42,106.8,1,11,36229,25,4,3,0,0,1
4,109.0,0,1,1719,2,3,1,2,1,1
4,59.0,0,1,35397,25,2,0,1,0,1
133,88.5,0,4,8374,29,4,2,1,3,0
74,55.24,0,2,33096,17,4,4,1,0,1
2,102.7,0,8,3246,2,4,1,0,0,1
135,94.5,2,5,14526,22,4,0,2,3,1
128,105.4,1,5,14555,4,3,3,0,0,1
0,89.0,0,5,8304,9,4,0,1,3,1
6,81.0,0,8,27073,23,4,0,1,3,1
38,85.0,0,12,22013,2,2,2,0,0,1
20,156.0,0,5,28522,11,4,1,0,0,0
240,90.95,2,10,5128,27,4,3,1,0,1
34,74.8,2,11,20757,14,4,5,2,0,0
79,75.0,0,11,28836,13,3,2,0,0,1
126,125.45,2,5,2798,15,4,3,2,0,1
4,88.0,1,12,26914,14,4,1,0,0,1
31,125.1,1,10,2622,4,4,1,0,0,1
2,75.0,0,9,5685,20,3,1,2,0,1
35,84.24,0,6,35698,1,4,2,0,3,0
147,127.93,1,7,25839,3,4,2,2,0,1
188,130.0,0,6,25753,15,3,2,0,0,0
176,137.7,2,8,5031,9,4,3,0,0,0
0,65.0,0,5,30190,23,2,0,1,0,1
22,206.0,2,6,14637,13,4,3,1,0,1
31,135.9,1,7,24138,27,4,2,0,0,0
73,149.4,1,9,18941,19,4,3,1,0,0
2,98.0,0,3,13655,22,4,2,0,3,1
83,75.0,0,12,880,18,3,0,2,0,1
8,101.0,0,2,32849,6,2,1,0,0,1
11,80.3,1,1,10031,20,4,2,0,0,1
192,94.5,0,8,22508,3,4,2,0,3,0
39,130.9,2,12,4168,8,4,8,2,0,1
188,130.0,0,6,4361,15,4,2,0,0,0
64,70.46,0,3,2710,10,4,13,6,3,0
39,96.3,2,10,17162,23,4,1,0,0,1
47,119.52,0,9,21634,18,4,2,2,0,1
74,109.0,0,9,1246,18,3,2,0,1,1
27,195.5,2,8,664,8,4,1,1,0,1
256,115.0,1,6,30867,15,3,2,0,1,0
304,89.0,0,11,6341,3,4,3,0,0,0
267,95.0,0,9,16178,30,3,2,1,0,0
33,120.6,1,10,18805,3,4,0,1,3,1
47,86.35,1,3,29464,11,4,2,2,0,1
54,117.9,0,7,11131,3,4,1,2,0,0
95,80.75,0,5,16744,6,3,2,1,0,1
89,87.3,1,4,19527,1,4,2,0,0,1
104,150.3,0,8,2805,24,4,4,0,0,0
156,106.89,1,8,20546,12,4,6,2,0,0
213,130.0,0,6,25836,7,3,3,0,0,0
44,66.29,1,2,15822,21,4,5,2,3,1
86,90.95,1,4,7742,25,4,3,1,0,1
78,108.45,1,4,5425,6,4,4,0,0,1
76,140.4,1,5,7651,12,4,3,0,0,1
170,112.2,1,8,8511,11,4,3,2,0,0
4,67.5,0,1,261,16,4,1,1,3,1
131,94.5,0,8,25961,15,3,1,2,1,0
19,115.0,0,3,24711,3,4,1,0,3,0
97,84.43,0,5,21981,1,4,4,2,3,0
0,129.0,1,6,853,17,4,1,0,3,1
275,90.0,0,10,15944,5,3,4,1,0,0
16,111.75,1,10,1475,1,4,3,1,0,1
146,95.0,0,4,14987,24,3,0,2,0,0
35,73.1,0,3,26238,2,4,2,0,3,0
20,70.42,0,12,12361,28,4,2,1,0,1
191,132.0,0,6,34670,3,3,2,1,0,0
36,68.07,1,12,374,10,4,6,2,0,1
105,114.3,1,7,3643,7,4,3,1,0,1
10,110.0,0,9,29879,30,0,1,0,0,0
6,87.27,1,10,21082,30,4,2,1,0,1
167,96.3,0,8,26995,26,4,2,1,0,0
138,142.2,0,8,28581,18,4,2,0,0,0
3,185.57,0,4,24048,7,4,2,0,0,1
275,90.0,0,10,27583,5,3,4,1,0,0
33,149.0,1,10,32881,26,4,4,0,0,0
290,72.0,0,6,10217,17,3,2,1,0,0
246,104.55,0,12,13184,26,4,3,1,0,1
75,90.0,0,4,10580,17,4,0,2,3,1
12,55.72,0,2,644,6,4,2,2,3,1
14,91.0,1,2,23947,7,4,2,2,0,0
7,58.0,0,12,30244,9,3,3,0,0,1
4,55.0,0,11,18314,27,3,2,1,0,1
177,84.39,0,8,8447,22,4,5,2,3,0
176,108.9,0,10,20926,7,4,2,0,0,0
5,167.0,0,8,16151,21,4,0,1,0,0
308,78.3,1,11,5181,23,4,3,0,0,0
88,112.2,0,10,24460,5,3,1,1,1,1
4,80.0,0,2,8771,19,2,1,0,0,0
188,80.75,1,7,11060,23,4,5,2,3,1
46,96.16,1,3,30761,13,4,5,3,0,0
9,67.0,1,10,26648,13,2,2,0,0,1
9,194.0,2,6,8370,27,4,3,1,1,1
0,75.0,0,10,7221,3,2,0,1,0,1
235,105.3,2,8,11895,6,4,1,1,0,0
96,82.45,0,8,19314,11,3,2,0,0,1
135,79.72,1,5,35852,9,4,4,1,0,0
101,80.0,0,4,36212,4,3,2,1,0,0
212,78.0,1,5,30690,20,3,3,2,0,1
28,75.0,2,9,27565,27,3,1,0,0,1
13,75.0,0,3,35074,20,3,0,1,0,1
306,104.4,3,8,20872,14,4,1,2,0,1
51,83.3,1,3,13974,21,4,3,1,3,1
177,80.75,0,10,18353,14,3,2,1,0,1
17,142.54,0,11,18116,6,4,2,2,3,1
45,151.2,2,8,32628,30,4,3,0,0,1
244,94.5,2,12,3813,21,4,2,0,0,0
100,136.0,1,5,18331,19,4,3,1,0,1
41,76.5,0,3,8241,15,4,1,0,0,0
99,81.0,0,2,14307,19,2,1,0,0,1
192,95.0,0,6,16257,24,3,2,0,0,1
24,157.0,0,6,12384,22,4,2,0,0,0
29,129.0,1,10,30173,20,4,2,0,0,0
18,12.0,2,9,15575,2,4,3,0,0,1
104,91.48,1,10,173,18,4,4,0,0,1
4,133.33,2,10,29160,28,4,2,1,3,1
34,122.4,0,6,2901,19,4,1,2,0,0
64,65.36,2,1,1911,19,4,2,0,3,1
1,85.0,0,1,9887,23,4,1,0,0,1
138,71.67,1,7,33417,2,4,2,2,0,1
12,118.5,1,8,33851,31,4,2,0,3,1
28,104.5,2,8,11935,30,4,4,0,3,1
164,100.0,0,10,13959,2,3,2,0,0,1
20,65.0,0,6,5784,29,2,1,0,0,1
5,80.0,0,12,29242,18,3,2,2,0,1
9,67.5,0,1,21622,14,4,2,0,3,1
12,89.0,1,1,34756,15,4,2,1,0,1
102,101.5,0,10,35770,16,3,2,0,1,0
48,93.5,2,3,34686,20,4,2,2,0,1
7,241.0,2,5,6573,25,4,2,0,0,1
55,104.0,0,4,27177,6,3,1,0,1,1
90,112.88,0,9,26486,7,3,3,0,0,1
50,123.3,1,9,21184,2,4,2,1,0,0
81,59.5,0,3,13458,18,3,2,2,0,1
275,62.8,0,6,8909,4,3,1,1,0,0
192,95.0,0,6,2405,24,3,2,0,0,1
113,100.0,0,5,25829,31,2,3,0,0,0
74,109.0,0,9,26749,18,3,2,0,1,1
18,142.43,1,8,9289,27,4,5,2,0,0
141,72.76,1,5,17553,23,4,0,1,3,1
29,98.0,0,4,28059,12,4,3,0,3,0
50,108.0,1,10,576,19,4,1,0,3,0
20,67.0,0,12,23044,4,2,0,2,0,1
39,101.5,0,8,2924,14,3,2,0,1,1
2,89.0,0,3,34926,30,4,1,0,3,1
40,135.76,0,4,116,22,4,5,2,0,0
69,123.98,0,9,23775,1,4,6,2,3,0
3,119.0,0,8,32296,17,2,4,1,0,0
270,80.0,0,4,27182,20,3,4,0,0,1
213,130.0,0,6,28403,7,3,3,0,0,0
2,99.14,0,8,32549,19,4,5,2,0,1
143,106.0,0,7,7815,18,2,3,1,0,1
377,115.0,1,10,32472,14,3,2,0,1,0
0,15.0,0,7,2947,10,4,0,1,0,1
14,139.0,1,2,27407,14,4,5,2,0,1
144,95.4,0,6,8404,2,4,3,0,3,1
1,74.25,1,1,14722,4,4,1,1,0,1
4,93.0,0,2,3096,20,4,1,0,0,1
101,70.0,0,4,28685,4,3,2,1,0,0
296,117.0,1,9,8925,21,3,4,0,1,0
0,124.0,0,8,12917,10,4,3,1,0,1
143,100.0,0,8,26298,25,3,3,0,0,1
109,131.4,3,8,13748,11,4,3,1,0,1
92,89.25,1,10,2848,6,4,5,0,0,1
188,130.0,0,6,35439,15,3,2,0,0,0
13,96.0,0,4,18879,26,3,3,0,1,1
224,128.7,2,10,7743,23,4,1,2,0,0
386,115.0,1,10,15319,23,3,0,2,1,0
275,90.0,0,10,16886,5,3,4,1,0,0
161,130.0,0,3,26709,25,3,2,1,1,0
36,214.75,0,8,24526,21,4,0,1,0,0
21,196.0,0,4,28540,11,4,1,1,0,0
81,89.25,2,10,20518,24,4,3,2,0,1
28,144.8,1,5,6778,20,4,2,1,0,1
112,100.0,0,6,31490,2,3,2,0,0,1
237,80.75,0,9,11379,14,4,2,1,0,0
46,98.1,1,9,8194,7,4,1,0,0,1
137,133.2,0,8,8028,23,4,4,0,0,0
85,100.0,0,9,18772,30,3,3,0,1,1
34,66.0,1,2,10484,17,3,4,1,0,1
0,141.0,1,5,32838,12,4,1,0,0,1
30,139.28,0,10,15509,2,4,2,2,0,0
37,95.0,0,10,22122,13,3,3,0,0,1
13,151.0,1,8,4246,6,4,1,0,0,1
113,138.55,0,7,11715,1,4,6,2,0,0
155,142.83,0,10,4164,20,4,3,0,0,0
4,109.0,2,3,4981,11,4,2,1,0,1
43,72.0,1,12,27755,2,3,2,0,0,1
232,110.7,2,12,28067,5,4,2,1,0,1
1,89.5,1,12,21884,18,4,0,1,0,1
142,128.7,1,7,6053,1,4,2,0,0,1
9,107.0,1,11,7921,12,4,3,1,0,1
160,106.75,0,8,22215,8,4,5,2,3,0
177,100.0,0,6,13124,3,3,2,0,0,0
0,182.33,1,5,4200,27,4,2,0,0,0
3,75.0,0,12,13634,4,4,1,0,3,1
20,115.6,2,6,24967,8,4,2,0,0,1
0,91.59,0,8,7685,16,4,2,0,3,1
92,187.85,1,6,30500,1,4,4,0,0,1
276,95.0,0,9,7537,22,4,3,0,0,0
44,95.0,1,4,23435,23,3,1,2,0,1
27,85.0,0,5,2876,4,3,1,0,0,1
61,78.9,1,2,15363,29,4,2,1,0,0
61,68.85,0,7,9831,8,4,8,2,0,0
83,75.0,0,5,3013,1,3,1,2,0,1
172,79.03,1,7,27635,4,4,4,1,0,1
48,108.0,1,10,1992,4,4,3,0,3,0
37,69.5,1,2,34226,12,4,2,1,0,1
92,90.95,0,4,23604,7,3,3,1,0,1
0,95.0,0,6,21974,20,0,3,1,0,1
0,0.0,1,9,34435,28,1,1,0,0,1
60,143.1,0,4,23401,30,4,1,1,0,0
188,105.3,0,8,3757,13,4,1,1,0,0
1,136.0,2,6,623,11,4,1,1,0,1
71,120.0,0,6,8116,14,3,3,0,0,1
28,96.3,2,10,7981,12,4,2,1,0,1
39,109.0,0,8,2290,14,3,2,0,1,1
49,71.0,0,12,27631,30,3,4,0,0,1
10,129.0,0,6,28944,29,4,2,0,3,0
5,130.0,1,8,34334,20,4,1,0,0,1
7,90.0,1,8,12307,17,4,2,1,0,1
1,75.0,0,11,550,29,3,1,0,0,1
14,89.0,0,4,7420,19,4,1,0,3,0
137,147.9,1,7,17842,29,4,7,3,1,1
76,129.0,2,6,35077,17,4,2,2,0,1
20,58.0,0,12,25299,27,3,1,2,0,1
105,75.0,0,4,28848,6,3,1,0,0,0
11,94.5,0,8,28160,15,3,1,2,1,1
23,96.0,0,3,5960,10,4,3,1,0,0
164,100.0,0,10,10520,2,3,2,0,0,0
189,72.25,0,8,4892,8,3,3,1,0,1
105,72.25,3,11,29908,26,4,3,0,0,1
188,130.0,0,6,19679,15,3,2,0,0,0
52,145.24,0,10,17730,23,4,3,2,0,0
145,94.5,0,8,4762,1,4,1,1,3,1
81,190.29,0,7,34364,11,4,5,2,1,1
6,169.93,1,9,34964,12,4,1,1,0,1
10,89.0,1,4,15476,3,4,0,2,3,1
99,81.0,0,2,35807,19,2,1,0,0,1
54,140.4,0,6,11270,4,4,1,0,0,0
176,125.1,0,9,16866,8,3,3,0,0,0
68,125.1,0,9,7937,16,4,1,0,3,0
50,127.8,2,10,32860,4,4,2,0,0,1
1,98.0,0,8,7355,9,4,0,2,0,1
49,71.0,0,12,2444,30,3,4,0,0,1
150,80.1,0,10,22231,30,4,0,2,3,0
135,90.0,0,9,30261,14,3,2,1,0,1
111,120.0,0,10,25944,10,3,0,1,0,0
3,138.5,0,7,31537,11,3,1,2,1,1
122,76.5,2,7,3402,13,4,0,1,0,0
40,158.4,1,10,34583,2,4,0,1,0,1
204,93.22,2,8,28814,15,4,10,5,0,0
119,112.5,0,6,1444,28,4,1,0,0,0
240,140.4,0,9,27303,30,4,2,0,0,0
96,108.0,3,10,27261,3,4,1,1,3,1
131,108.0,0,10,15219,10,4,0,1,3,0
247,115.0,1,6,28335,6,3,1,1,1,0
137,79.72,1,5,35267,22,4,3,2,0,1
18,146.0,1,5,930,10,4,3,0,0,1
105,75.0,0,4,14207,6,3,1,0,0,0
52,132.9,0,7,323,8,4,2,1,0,0
304,89.0,0,11,8969,3,3,3,0,0,0
73,145.93,0,7,35778,2,4,10,4,0,0
142,138.55,1,8,9291,8,4,4,1,0,1
88,98.18,0,4,29193,26,4,4,0,0,0
94,117.9,0,8,8321,23,4,2,0,0,0
57,90.67,1,6,13985,10,3,2,1,0,1
61,63.58,0,3,27379,19,3,2,2,0,1
276,116.33,0,9,10501,22,3,3,0,0,0
117,72.25,1,7,15962,27,3,4,1,0,1
6,90.2,1,2,21780,7,3,2,2,0,1
76,80.75,0,9,20835,17,4,4,2,0,1
102,101.5,0,10,1691,16,4,2,0,1,0
83,112.59,2,9,35507,28,4,1,0,3,1
89,87.3,1,4,12462,8,4,2,1,0,1
166,110.0,0,11,27342,1,3,3,0,0,0
10,110.0,0,5,18616,29,2,5,3,0,1
250,95.0,0,9,14875,26,3,3,1,0,0
9,0.0,0,4,31184,6,4,1,0,1,1
273,95.0,0,5,995,13,4,2,1,0,0
85,73.95,2,3,16431,17,4,3,2,0,1
79,88.5,0,4,19972,17,4,1,2,3,0
30,140.0,0,6,6720,2,3,2,0,0,1
0,99.2,0,9,14100,7,3,1,1,0,1
112,100.0,0,6,17385,2,3,2,0,0,1
5,100.0,0,5,8723,24,2,2,0,0,1
14,98.11,1,12,21093,28,4,5,2,3,1
12,184.0,3,2,30402,24,4,4,0,1,1
95,103.7,3,12,341,21,4,5,2,0,1
80,136.0,0,10,19955,9,3,2,0,1,1
52,207.9,1,9,19121,14,4,3,0,0,0
64,93.5,0,3,33418,18,4,2,2,0,1
11,129.75,1,7,19487,25,4,2,1,0,1
178,124.5,0,8,33083,18,4,3,0,0,0
0,161.0,0,7,10493,25,4,2,1,0,1
224,102.25,0,8,20241,8,3,2,1,1,0
7,138.0,2,9,17822,11,4,2,0,0,1
0,163.18,0,5,14337,18,2,1,0,0,0
260,113.4,0,9,31737,22,4,3,0,3,0
1,95.0,1,11,13477,5,4,2,0,3,1
172,80.75,0,6,35332,27,4,4,1,3,0
219,72.25,0,8,23728,17,3,3,0,0,1
50,79.56,0,7,23103,13,3,4,2,0,0
14,184.0,2,9,19492,22,4,1,0,0,1
0,0.0,0,10,833,1,1,1,0,0,1
156,72.25,1,7,17446,16,3,2,2,0,1
164,100.0,0,10,5081,2,3,2,0,0,1
211,100.0,0,5,9279,20,3,2,0,0,0
40,75.0,0,10,25403,28,3,3,0,0,1
229,70.44,0,10,5584,27,4,3,0,0,0
7,156.0,1,6,5488,16,4,4,2,0,0
60,65.0,0,9,28235,21,3,1,1,0,1
143,0.0,0,4,26384,24,4,0,0,0,1
0,0.0,2,12,12825,12,1,0,1,0,1
193,120.0,0,6,31434,20,3,2,1,0,0
61,72.24,1,10,24361,26,3,1,1,0,1
6,126.0,1,5,4110,9,4,1,1,0,1
87,181.16,2,7,1508,9,4,5,2,0,1
119,90.9,0,4,20579,15,4,2,0,0,1
72,53.95,1,9,24400,19,4,3,1,0,1
5,64.0,0,2,14299,2,3,3,0,0,1
5,82.35,0,11,23111,28,4,1,1,3,1
16,76.0,0,3,32397,8,2,2,0,0,1
104,77.03,1,7,21844,16,4,1,1,0,1
170,96.3,1,6,23742,28,4,3,0,0,1
75,80.0,0,3,22941,17,3,3,1,0,0
92,90.0,0,11,22186,11,3,1,0,0,1
0,55.08,0,2,2323,12,4,1,0,0,1
7,95.0,0,4,35564,4,4,0,1,0,1
12,134.33,2,7,6049,19,4,3,0,0,1
110,95.0,0,6,3398,26,4,1,2,0,0
15,60.0,0,12,14223,27,3,1,0,0,1
18,75.0,1,1,13594,21,4,2,0,3,1
245,110.0,0,7,12637,6,3,4,2,0,0
30,149.4,0,5,3082,11,4,4,0,0,0
79,95.2,1,4,30396,4,4,3,1,0,1
61,75.0,1,11,17050,23,3,3,0,0,1
235,106.25,0,10,4080,27,4,3,1,0,0
3,131.0,0,7,35579,24,4,0,1,0,1
0,45.0,1,10,25888,28,3,1,0,0,1
38,112.59,0,9,474,26,4,1,1,3,0
100,38.67,0,3,14428,25,3,2,1,0,1
19,95.0,1,10,34975,27,2,1,0,0,1
94,146.7,0,6,32312,30,4,2,0,0,0
13,156.0,0,5,8388,6,4,2,0,0,1
84,60.98,1,11,18202,5,4,1,0,3,1
6,54.0,0,2,1457,28,3,0,2,0,1
80,80.33,1,3,290,17,4,3,1,0,1
94,96.3,0,3,8006,9,4,3,0,0,1
71,87.13,1,4,8141,3,4,2,2,0,1
38,77.23,3,11,29401,2,4,4,0,0,1
122,105.3,1,5,631,12,4,2,0,0,1
39,101.5,0,8,35944,14,3,2,0,1,1
2,78.2,1,11,23443,6,3,5,2,0,1
86,105.4,1,4,20305,25,4,5,3,0,0
47,90.3,0,2,12408,18,4,3,0,0,1
1,71.7,0,1,13127,27,4,2,0,0,1
44,98.8,0,12,14185,2,4,2,0,0,0
0,135.5,2,10,15610,1,4,2,0,0,1
0,75.0,0,3,17476,24,3,1,0,0,1
99,65.0,0,10,2142,30,4,2,2,0,0
25,89.89,2,12,33470,10,4,2,2,0,1
75,80.0,0,3,1974,17,4,3,1,0,0
102,40.67,0,1,31515,3,3,1,2,0,1
0,101.18,0,7,23672,23,4,1,0,0,1
17,135.0,2,10,29561,7,4,1,0,3,1
433,70.0,0,9,27625,8,3,3,0,0,0
19,174.0,2,9,36070,15,4,2,0,0,1
42,88.2,0,3,11742,22,4,1,0,3,1
49,63.75,0,3,9370,8,4,4,0,3,0
77,115.8,1,4,18233,18,4,2,1,0,1
0,129.0,3,8,14243,30,4,3,0,3,1
273,95.0,0,5,13849,13,3,2,1,0,0
9,82.92,0,3,26126,30,4,1,0,0,1
77,125.1,1,6,25415,18,4,1,1,0,1
95,65.83,1,4,25898,14,4,1,0,3,1
177,80.75,1,7,252,26,4,4,0,3,0
67,75.0,0,12,10642,2,3,2,1,0,1
33,131.88,1,11,34678,6,4,3,2,0,1
